Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
126,Assassin's Creed II,165.23,147.80,143.66,0.03,0.13,165.23,0.03,154.45,-0.07,152.23
1740,Roland Garros 2005 - Powered by Smash Court Tennis,179.32,158.05,153.83,0.03,0.14,179.32,0.03,166.58,-0.08,163.74
1043,Just a to the Moon Series Beach Episode,166.99,147.29,142.09,0.03,0.15,166.99,0.03,154.54,-0.08,152.12
1342,Mutazione,61.52,53.09,51.11,0.03,0.17,61.52,0.03,56.31,-0.09,55.24
1222,Marvel Ultimate Alliance,118.41,100.91,96.69,0.03,0.18,118.41,0.03,107.55,-0.10,105.34
2543,Yakuza 4,135.29,114.42,110.22,0.03,0.19,135.29,0.03,122.76,-0.10,119.98
685,Fatal Frame III The Tormented,59.71,50.31,48.13,0.03,0.19,59.71,0.03,53.92,-0.11,52.71
2213,The Missing JJ Macfield and the Island of Memories,183.55,152.69,145.78,0.03,0.21,183.55,0.03,164.67,-0.12,160.68
1807,Shadow Hearts - Covenant,91.03,74.00,70.72,0.03,0.22,91.03,0.03,80.87,-0.13,78.58
2105,Tekken 6,92.71,75.84,72.09,0.03,0.22,92.71,0.03,82.40,-0.13,80.21
493,Devil May Cry 2,94.91,77.57,73.62,0.03,0.22,94.91,0.03,84.27,-0.13,82.03
2032,Super Mario Odyssey,128.78,103.64,99.04,0.03,0.23,128.78,0.03,113.91,-0.13,110.49
1588,Potionomics,103.85,83.08,78.50,0.03,0.24,103.85,0.03,91.18,-0.14,88.48
114,As Far as the Eye,180.76,146.17,137.07,0.03,0.24,180.76,0.03,158.92,-0.14,154.67
2460,Warm Snow,82.13,65.61,62.40,0.03,0.24,82.13,0.03,72.27,-0.14,70.05
779,Front Mission 3,86.88,69.22,65.73,0.03,0.24,86.88,0.03,76.30,-0.14,73.94
864,Gregory Horror Show,50.16,39.28,36.99,0.03,0.26,50.16,0.03,43.57,-0.15,42.14
2273,This Way Madness Lies,70.63,55.08,51.98,0.03,0.26,70.63,0.03,61.30,-0.15,59.23
1031,Jak X - Combat Racing,103.70,80.86,75.29,0.03,0.27,103.70,0.03,89.50,-0.16,86.62
276,Broken Sword - The Shadow of the Templars,89.85,69.78,65.55,0.03,0.27,89.85,0.03,77.70,-0.16,75.06
1529,Persona 5 Royal,115.71,89.54,83.50,0.03,0.28,115.71,0.03,99.60,-0.16,96.25
1970,STAR WARS Squadrons,158.35,121.01,113.40,0.03,0.28,158.35,0.03,135.87,-0.17,130.92
841,Good Pizza Great Pizza,183.54,137.32,125.84,0.03,0.31,183.54,0.03,154.69,-0.19,148.90
1798,Serious Sam - Next Encounter,156.21,114.92,103.98,0.03,0.33,156.21,0.03,130.10,-0.20,125.04
310,Castlevania - Lords of Shadow - Mirror of Fate,85.64,62.06,56.10,0.03,0.34,85.64,0.03,70.87,-0.21,67.93
2035,Super Mario Strikers,131.22,93.85,85.76,0.03,0.35,131.22,0.03,108.49,-0.21,103.61
1743,RPG Time - The Legend of Wright,66.43,47.33,42.93,0.03,0.35,66.43,0.03,54.68,-0.22,52.23
2574,ZHP Unlosing Ranger vs Darkdeath Evilman,116.87,81.31,74.00,0.03,0.37,116.87,0.03,95.43,-0.23,90.72
1892,Sly Cooper - Thieves in Time,117.10,81.78,73.92,0.03,0.37,117.10,0.03,95.51,-0.23,90.94
1741,Rollerdrome,73.37,50.61,45.25,0.03,0.38,73.37,0.03,59.31,-0.24,56.41
1754,Rygar - The Legendary Adventure,128.30,86.30,78.07,0.03,0.39,128.30,0.03,103.18,-0.25,97.56
1091,Laika - Aged Through Blood,150.86,102.85,90.24,0.03,0.40,150.86,0.03,120.55,-0.25,114.65
1577,Pokémon Snap,161.50,108.37,94.88,0.03,0.41,161.50,0.03,128.19,-0.26,121.58
2199,The Longing,67.17,43.32,38.66,0.03,0.42,67.17,0.03,52.91,-0.27,49.72
212,Bishi Bashi Special,190.53,122.61,108.81,0.03,0.43,190.53,0.03,149.67,-0.27,140.65
1697,Resident Evil,68.27,44.72,38.64,0.03,0.43,68.27,0.03,53.46,-0.28,50.55
2352,Troubleshooter Abandoned Children,115.62,72.43,63.53,0.03,0.45,115.62,0.03,89.58,-0.29,83.86
2558,You Will Die Here Tonight,86.46,53.06,46.67,0.03,0.46,86.46,0.03,66.56,-0.30,62.06
1273,Metroid - Other M,62.38,37.24,32.47,0.03,0.48,62.38,0.03,47.43,-0.32,44.03
2231,The Room,149.90,91.22,76.31,0.03,0.49,149.90,0.03,113.11,-0.33,105.81
460,Deadly Premonition,68.73,41.34,34.17,0.03,0.50,68.73,0.03,51.45,-0.34,48.08
2424,Vampire Survivors,77.05,46.07,37.84,0.03,0.51,77.05,0.03,57.45,-0.35,53.65
1162,Lula The Sexy Empire,64.53,35.75,30.11,0.03,0.53,64.53,0.03,47.32,-0.37,43.47
241,Bloody Roar,113.32,58.63,48.46,0.03,0.57,113.32,0.03,80.89,-0.41,73.47
426,Dante's Inferno,107.59,56.69,45.43,0.03,0.58,107.59,0.03,76.51,-0.41,69.90
1905,Song of Iron,77.24,40.50,32.04,0.03,0.59,77.24,0.03,54.64,-0.42,49.93
2448,War for the Overworld,61.87,31.22,24.21,0.03,0.61,61.87,0.03,43.04,-0.45,39.10
1394,Nidhogg 2,122.66,60.84,45.72,0.03,0.63,122.66,0.03,84.19,-0.46,76.41
1860,Silent Hill 4 - The Room,78.13,38.04,29.21,0.03,0.63,78.13,0.03,53.67,-0.46,48.46
328,Chained Together,87.18,43.19,32.68,0.03,0.63,87.18,0.03,59.93,-0.46,54.35
2324,Total War - Rome,87.44,41.83,32.40,0.03,0.63,87.44,0.03,59.92,-0.47,53.89
2392,UnMetal,123.12,57.54,42.93,0.03,0.65,123.12,0.03,83.03,-0.49,74.53
1015,Iron Danger,130.02,62.34,45.41,0.03,0.65,130.02,0.03,87.71,-0.49,79.26
