Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Sand Land,106,116,121,200,0.12,0,0.45,B,0.07,2,0,206,0,41,0,103,0,3094,1706,42968,232
Labyrinth City Pierre - The Maze Detective,105,107,108,200,0.03,0,0.42,B,0.01,199,0,0,0,0,0,7,0,1456,108,39319,3881
Jak II,56,82,95,200,0.41,0,0.3,B,0.26,752,0,5,203,0,0,1240,0,5092,139,42555,645
Amnesia The Dark Descent,61,69,73,200,0.16,0,0.26,B,0.09,0,0,0,0,0,0,1,0,20123,3137,40484,2716
The Last Faith,61,67,70,200,0.13,0,0.26,B,0.07,1,0,0,0,0,0,0,0,15297,484,38871,4329
GALAK-Z,50,52,53,200,0.06,0,0.2,B,0.03,931,0,0,0,7,0,157,0,27717,1883,42138,1062
XCOM - Enemy Unknown,27,92,125,200.2,0.78,0,0.3,B,0.64,0,0,0,0,1937,0,0,0,12385,98,43200,0
Super Paper Mario,117,180,212,200.21,0.45,1,0.65,B,0.52,566,0,83,105,1199,0,680,0,683,1473,43026,174
Windjammers 2,144,173,188,200.45,0.23,1,0.65,B,0.25,242,6,2017,206,512,0,98,0,1309,7658,42514,686
One Piece Odyssey,124,154,170,200.87,0.27,1,0.58,B,0.21,3,0,0,0,0,0,0,0,3034,7054,41186,2014
XCOM 2,42,57,65,200.87,0.35,0,0.21,B,0.21,0,0,0,0,214,0,0,0,19398,347,42521,679
SteamWorld Heist II,94,134,156,201.29,0.4,1,0.49,B,0.25,35,2,8,146,523,0,494,0,360,849,42764,436
OXENFREE II Lost Signals,74,94,105,201.29,0.3,0,0.35,B,0.17,0,0,0,0,0,0,0,0,9830,981,41844,1356
Lightning Returns - Final Fantasy XIII,43,63,74,201.29,0.42,0,0.23,B,0.26,5,0,0,0,89,0,5,0,19450,888,42431,769
Pokémon Diamond and Pearl,77,95,105,201.43,0.27,0,0.36,B,0.15,0,0,0,311,0,0,851,0,9989,2840,41147,2053
Ronin,77,86,91,201.43,0.15,0,0.33,B,0.08,688,0,0,0,0,0,0,0,13010,3239,42560,640
Ittle Dew,127,159,177,201.6,0.28,1,0.6,B,0.24,21,0,0,12,0,1,201,0,3256,2125,43022,178
Praey for the Gods,130,158,174,201.82,0.25,1,0.6,B,0.21,0,0,0,0,0,0,0,0,1876,4825,43010,190
BloodBorne,81,95,103,201.82,0.21,0,0.36,B,0.12,0,0,0,0,0,0,0,0,7547,1054,37289,5911
Sonic Frontiers,127,153,168,201.95,0.24,1,0.58,B,0.19,45,0,176,3,29,0,26,0,169,7063,42510,690
Halo Infinite,85,102,112,202.22,0.24,0,0.39,B,0.14,0,0,0,0,0,0,0,0,5723,1609,41912,1288
Xenoblade Chronicles 2,97,134,156,202.37,0.38,1,0.5,B,0.23,442,0,339,0,4,0,3,1,1197,5445,42384,816
Ever Oasis,141,156,165,202.5,0.15,1,0.6,B,0.12,81,0,6659,1244,249,0,8341,0,54,2017,43084,116
Timesplitters - Future Perfect,92,102,108,202.5,0.15,0,0.39,B,0.08,0,0,0,0,15,0,0,0,17198,8022,40372,2828
Necrobarista,65,75,81,202.5,0.2,0,0.29,B,0.11,67,0,0,0,0,0,3,0,16414,2592,41635,1565
Assassin's Creed,116,139,153,202.7,0.24,1,0.53,B,0.15,0,0,0,0,0,0,0,0,5904,12668,41313,1887
The Surge 2,164,177,185,202.86,0.11,1,0.68,B,0.13,149,0,0,0,0,0,0,0,3784,20699,41775,1425
Griefhelm,160,173,181,202.86,0.12,1,0.67,B,0.12,0,0,0,0,0,0,0,0,2852,22125,41411,1789
Fire Emblem Warriors,140,148,153,203.08,0.08,1,0.57,B,0.06,0,0,0,65,0,0,64,0,3041,12407,40169,3031
Resident Evil 2 - Remake,94,102,107,203.08,0.12,0,0.39,B,0.06,126,0,0,0,0,0,0,0,7811,2456,41802,1398
Sir You are Being Hunted,72,80,85,203.08,0.15,0,0.31,B,0.08,0,0,0,0,0,0,0,0,15379,2013,42065,1135
Abzu,58,126,169,203.24,0.66,1,0.45,B,0.49,0,0,0,0,129,0,0,0,3850,587,43185,15
Hob,91,102,109,203.33,0.17,0,0.39,B,0.09,1003,0,0,0,0,0,0,0,3640,1544,40035,3165
Indivisible,103,131,149,203.48,0.31,1,0.49,B,0.18,85,0,0,0,3,0,0,0,157,1205,41926,1274
Batman Arkham Asylum,72,89,100,203.57,0.28,0,0.34,B,0.16,0,0,0,0,0,0,4,0,13960,3812,41849,1351
Star Ocean - First Departure,57,83,100,203.72,0.43,0,0.31,B,0.27,0,0,0,0,0,0,0,0,11793,1726,41793,1407
Oni,127,133,137,204,0.07,1,0.52,B,0.04,0,0,0,0,0,0,45,0,5140,9782,40451,2749
FEZ,91,124,146,204,0.38,1,0.46,B,0.23,47,2,0,1069,111,0,80,27,1701,2186,43039,161
Mega Man X7,96,114,126,204,0.24,0,0.44,B,0.14,303,0,14,344,68,0,415,0,5538,3024,42542,658
MO -Astray,51,78,96,204,0.47,0,0.29,B,0.31,0,0,0,126,0,0,5,0,6806,62,42979,221
LostWinds 2 Winter of the Melodias,80,108,127,204.26,0.37,0,0.41,B,0.23,273,0,0,0,45,0,40,0,2846,1166,42918,282
Little Nightmares II,86,130,160,204.32,0.46,1,0.48,B,0.3,0,0,0,2,4,0,0,0,256,1998,42984,216
